Title,Description,Category,Link,DateTime
"Covaxin: Science, not pride will help India build trust in this vaccine - Business Standard","Covaxin: Science, not pride will help India build trust in this vaccine  Business Standard",Science,https://www.business-standard.com/article/current-affairs/covaxin-science-not-pride-will-help-india-build-trust-in-this-vaccine-121010400391_1.html,2021-01-04 06:48:00
Science education couldn’t be more important as we endure the COVID-19 pandemic | Opinion - The Philadelphia Inquirer,Science education couldn’t be more important as we endure the COVID-19 pandemic | Opinion  The Philadelphia Inquirer,Science,https://www.inquirer.com/opinion/commentary/stem-education-coronavirus-museum-closures-philadelphia-franklin-institute-20210104.html,2021-01-04 12:11:15
"Vaccine approval is a leap of science, not faith, says Venkaiah Naidu - The Hindu","Vaccine approval is a leap of science, not faith, says Venkaiah Naidu  The Hindu",Science,https://www.thehindu.com/news/national/vaccine-approval-is-a-leap-of-science-not-faith-says-venkaiah-naidu/article33494697.ece,2021-01-04 14:31:08
"UK rolls out AstraZeneca vaccine, hails lead in fight against coronavirus - Reuters","UK rolls out AstraZeneca vaccine, hails lead in fight against coronavirus  Reuters",Science,https://uk.reuters.com/article/health-coronavirus-britain/update-4-uk-rolls-out-astrazeneca-vaccine-hails-lead-in-fight-against-coronavirus-idUKL1N2JF09J,2021-01-04 00:05:00
"Coronavirus latest news: New lockdown from midnight in Scotland, Nicola Sturgeon announces - watch live - Telegraph.co.uk","Coronavirus latest news: New lockdown from midnight in Scotland, Nicola Sturgeon announces - watch live  Telegraph.co.uk",Science,https://www.telegraph.co.uk/global-health/science-and-disease/coronavirus-news-covid-vaccine-oxford-schools-uk-closed-national/,2021-01-04 14:51:00
The UK's vaccine approach isn't 'anti-science' - Spectator.co.uk,The UK's vaccine approach isn't 'anti-science'  Spectator.co.uk,Science,https://www.spectator.co.uk/article/the-uk-s-vaccine-approach-isn-t-anti-science-,2021-01-04 04:51:00
"Covid-19 Is Dangerous, Not Vaccines -- 20 Scientists, Doctors, And Concerned Individuals - CodeBlue","Covid-19 Is Dangerous, Not Vaccines -- 20 Scientists, Doctors, And Concerned Individuals  CodeBlue",Science,https://codeblue.galencentre.org/2021/01/04/covid-19-is-dangerous-not-vaccines-20-scientists-doctors-and-concerned-individuals/,2021-01-04 02:06:38
"India to start world’s biggest Covid-19 vaccination programme, says PM Modi; thanks scientists - The Indian Express","India to start world’s biggest Covid-19 vaccination programme, says PM Modi; thanks scientists  The Indian Express",Science,https://indianexpress.com/article/india/narendra-modi-national-metrology-conclave-coronavirus-vaccine-7131979/,2021-01-04 14:14:27
Expert Insight: SARS-CoV-2 serology testing in the setting of vaccination - SelectScience,Expert Insight: SARS-CoV-2 serology testing in the setting of vaccination  SelectScience,Science,https://www.selectscience.net/expert-insights/sars-cov-2-serology-testing-in-the-setting-of-vaccination/?&artID=53461,2021-01-04 13:55:20
Gov. Sununu reaffirms on CNN he has no plans to mandate COVID-19 vaccine - WMUR Manchester,Gov. Sununu reaffirms on CNN he has no plans to mandate COVID-19 vaccine  WMUR Manchester,Science,https://www.wmur.com/article/new-hampshire-governor-chris-sununu-coronavirus-january-4-2021/35117561,2021-01-04 13:54:00
'Never Seen Anything Like it': Gagandeep Kang on India's Vaccine Approvals - The Wire Science,'Never Seen Anything Like it': Gagandeep Kang on India's Vaccine Approvals  The Wire Science,Science,https://science.thewire.in/health/india-vaccine-approval-dcgi-cdsco-gagandeep-kang-covishielf-covaxin/,2021-01-04 10:22:00
Vaccine's Last Mile - American Council on Science and Health,Vaccine's Last Mile  American Council on Science and Health,Science,https://www.acsh.org/news/2021/01/04/vaccine%E2%80%99s-last-mile-15249,2021-01-04 12:00:00
Hey COVID vaccine sceptics ⁠— healthcare experts answer some of the worrying questions - Business Insider India,Hey COVID vaccine sceptics ⁠— healthcare experts answer some of the worrying questions  Business Insider India,Science,https://www.businessinsider.in/science/health/news/hey-covid-vaccine-sceptics-healthcare-experts-answer-some-of-the-worrying-questions/slidelist/80093496.cms,2021-01-04 07:18:25
